시설번호,시설명,호선,역코드,역명,역번호,기준일자,관리번호,출입구내외부,지상지하,인접출입구번호,상세위치,화장실정보,역층,휠체어이용가능
1740792,건축)대합실화장실-노원(7)_지하2층,7호선,2715,노원,713,20210527,,외부,지하,6,"지하2층 대합실, (가)아이센터 앞","일반(남,여) / 교통약자(남,여)",B2,Y
1740793,건축)대합실화장실-중계_지하1층,7호선,2716,중계,714,20210527,,외부,지하,1,지하1층 1번 출입구 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740794,건축)대합실화장실-하계_지하1층,7호선,2717,하계,715,20210527,,외부,지하,4,지하1층 4번 출입구,"일반(남,여) / 교통약자(남,여)",B1,Y
1740795,건축)대합실화장실-공릉_지하1층,7호선,2718,공릉,716,20210527,,외부,지하,"1,2",지하1층 아이센터 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740797,건축)대합실화장실-태릉입구(7)_지하3층,7호선,2719,태릉입구,717,20210527,,외부,지하,"2,3",대합실 지하3층 고객안전실 앞,"일반(남,여) / 교통약자(남,여)",B3,Y
1740798,건축)대합실화장실-먹골_지하1층,7호선,2720,먹골,718,20210527,,외부,지하,"1,2",B1층 대합실,"일반(남,여) / 교통약자(남,여)",B1,Y
1740799,건축)대합실화장실-중화_지하1층,7호선,2721,중화,719,20210527,,외부,지하,2,B1층  2번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740800,건축)대합실화장실-상봉(7)_지하1층,7호선,2722,상봉,720,20210527,,내부,지하,"1,2,5,6","B1층 1,2,5,6번 출입구 앞","일반(남,여) / 교통약자(남,여)",B1,Y
1740801,건축)대합실화장실-면목_지하1층,7호선,2723,면목,721,20210527,,외부,지하,3,B1층 아이센터 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740802,건축)대합실화장실-사가정_지하1층,7호선,2724,사가정,722,20210527,,외부,지하,1,B1층  1번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740803,건축)대합실화장실-용마산_지하1층,7호선,2725,용마산,723,20210527,,외부,지하,1,B1층  1번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740804,건축)대합실화장실-중곡_지하2층,7호선,2726,중곡,724,20210527,,외부,지하,1~3,B2층 개집표기 앞,"일반(남,여) / 교통약자(남,여)",B2,Y
1740805,건축)대합실화장실-어린이대공원_지하2층,7호선,2728,어린이대공원,726,20210527,,외부,지하,"1,6",B2층  아이센터 옆,"일반(남,여) / 교통약자(남,여)",B2,Y
